Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
AC0001;BOLSA DORMILON NATURAL;BOLSA DORMILON;3M A 9M;18000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902170/vmzrxvv8dbnnnbxwsx4b.jpg;no;si;7/7/2025;;public;
AC0002;BOLSA DORMILON CAMEL;BOLSA DORMILON;3M A 9M;18000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902187/s9gagns0ajczldfahgoi.jpg,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902192/nt8yfllvyrvn4dulzwuv.jpg,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902195/il5w7utimyffhbpikzdz.jpg;no;si;7/7/2025;;public;
AC0003;BOLSA DORMILON ROSA;BOLSA DORMILON;3M A 9M;18000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902203/gtxghjzyakjc0wejupfm.jpg;no;si;7/7/2025;;public;
AC0004;BOLSA DORMILON CELESTE;BOLSA DORMILON;3M A 9M;18000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902210/oecy9hgsccvffalhhgwi.jpg;no;si;7/7/2025;;public;
AC0005;GORRO LANA BLANCO;GORRO LANA;RN A 12M,12M A 2A;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902658/gtqjrgwy6xng0nltoowk.jpg;no;si;7/7/2025;;public;
AC0006;GORRO LANA NATURAL;GORRO LANA;RN A 12M,12M A 2A;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902363/iykos2pdgwddtzklegq7.jpg;no;si;7/7/2025;;public;
AC0007;GORRO LANA CAMEL;GORRO LANA;RN A 12M,12M A 2A;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902417/yjxysnwzwehjyqtv1gs4.jpg;no;si;7/7/2025;;public;
AC0008;GORRO LANA TOSTADO;GORRO LANA;RN A 12M,12M A 2A;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902426/eqwmhovoswmpc0rtqj0e.jpg;no;si;7/7/2025;;public;
AC0009;GORRO LANA CELESTE;GORRO LANA;RN A 12M,12M A 2A;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902435/htn0wzfjwdhltbtoonuw.jpg;no;si;7/7/2025;;public;
AC0010;GORRO LANA AERO;GORRO LANA;RN A 12M,12M A 2A;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751902442/kyei80tpsqld1ndwwzji.jpg;no;si;7/7/2025;;public;
