Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
NB0001;STAR (ZORRITO);STAR;NB;17900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847713/pfluh9rgevqw3a1ojuzf.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847712/rcazdvkbuxompzozfzaw.jpg;no;no;45845;;public;
NB0002;STAR (TRACTOR OFERTA);STAR;NB;14900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847788/fjtisbi8txwiz9wdbglh.jpg;no;no;45845;;public;
NB0003;STAR (VAQUITA);STAR;NB;17900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847807/b0uwujqlt3yww3vxlgqk.jpg;no;no;45845;;public;
NB0004;STAR (ELEFANTE);STAR;NB;17900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847915/aj6p2sdfiuveutnp92xb.jpg;no;no;45845;;public;
NB0005;STAR (CIERVITA);STAR;NB;17900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847943/dubbbcn2wcev831q7niu.jpg;no;no;45845;;public;
NB0006;STAR (OSITA);STAR;NB;17900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847962/idsastzcv2rdppzbzft0.jpg;no;no;45845;;public;
NB0007;STAR (MARIPOSA);STAR;NB;14900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847978/dzczuhh45vba5jpxxwdj.jpg;si;no;45845;;public;
NB0008;STAR (CONEJA);STAR;NB;17900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740847991/zjhon6xhu0txjgegcvns.jpg;no;no;45845;;public;
NB0009;AMORE (CIERVITA);AMORE;NB;18900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848033/nju2cz27eee36v6qwccg.jpg;no;no;45845;;public;
NB0010;AMORE (TRACTOR);AMORE;NB;14900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848196/kvpwqvtdms3lgjnqrsj9.jpg;si;no;45845;;public;
NB0011;AMORE (ELEFANTE);AMORE;NB;18900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751895987/evm1ju2sotfi0suesvjo.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751895984/owi6pyjjqx8nf08ostcl.jpg;no;no;45845;;public;
NB0012;AMORE (GATITO);AMORE;NB;18900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896070/crghvoaq8oqdbcvjjxcz.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896052/dpo9yuto45z58rndolhj.jpg;no;no;45845;;public;
NB0013;AMORE (BAMBI);AMORE;NB;18900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896109/f14fiwqhziv2p7cy7hpq.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896114/vb6vwqlopidxeba6kq4z.jpg;no;no;45845;;public;
NB0014;AMORE (CAPI);AMORE;NB;18900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896470/jjyjxo1atixs3g24fewb.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896477/uexkoenedli99ldbq9in.jpg;no;no;45845;;public;
NB0015;AMORE (CAPIBARA);AMORE;NB;18900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896503/j6kmeaggcfqichxzoy6x.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751896506/kmamwbfzv4vve66sklpv.jpg;no;no;45845;;public;
NB0016;AMORE (ZORRITO);AMORE;NB;18900;;no;no;45845;;public;
NB0017;AMORE (OSITA);AMORE;NB;18900;;no;no;45845;;public;
NB0018;AMORE (PAJARITO);AMORE;NB;18900;;no;no;45845;;public;
NB0019;AMORE (PINGÜINO);AMORE;NB;18900;;no;no;45845;;public;
NB0020;AMORE (CONEJITA);AMORE;NB;18900;;no;no;45845;;public;
NB0021;PLUSH (VENADITA CHICLE);PLUSH;NB;20900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848373/zjtshkns8jspk3gu9hji.jpg;no;no;45845;;public;
NB0022;PLUSH (ELEFANTE ROSA);PLUSH;NB;20900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848447/gdpzpoo1gqgyivzmehsb.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848447/fvrxhmbbru5aodivnm5x.jpg;no;no;45845;;public;
NB0023;PLUSH (PINGUINO CELESTE);PLUSH;NB;20900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848464/yjmcina5v0t2mcxsfeon.jpg;no;no;45845;;public;
NB0024;PLUSH (LEON CELESTE);PLUSH;NB;20900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1740848479/mibzcdybdwrakaqhnufm.jpg;no;no;45845;;public;
