Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
CJ0001;SWEET AMORE (ZORRITO);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898084/k31csrzatuhxamlxiwpw.jpg;no;si;7/7/2025;;public;
CJ0002;SWEET AMORE (ELEFANTE);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898008/m0kp3q4wr2w97y6vsb8u.jpg;no;si;7/7/2025;;public;
CJ0003;SWEET AMORE (GATITO);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898041/pfyv74ns1rmvly6mk6bh.jpg;no;si;7/7/2025;;public;
CJ0004;SWEET AMORE (BAMBI);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898049/pei4hezq3srdlmassfbs.jpg;no;si;7/7/2025;;public;
CJ0005;SWEET AMORE (CAPI);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898063/td1ctrce9upziliw6ix6.jpg;no;si;7/7/2025;;public;
CJ0006;SWEET AMORE (CAPIBARA);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898077/iva67bw6jfolusf7zyg1.jpg;no;si;7/7/2025;;public;
CJ0007;SWEET AMORE (CIERVA);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898145/oe2tbv6p619iruqw7wqr.jpg;no;si;7/7/2025;;public;
CJ0008;SWEET AMORE (OSITA);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898096/evopzswq9j07svkoc2dy.jpg;no;si;7/7/2025;;public;
CJ0009;SWEET AMORE (PAJARITO);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898107/jomfmckm8tt9tn2slk6o.jpg;no;si;7/7/2025;;public;
CJ0010;SWEET AMORE (PINGÜINO);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898115/aib3ynfe3moxepuyrofh.jpg;no;si;7/7/2025;;public;
CJ0011;SWEET AMORE (CONEJITA);SWEET AMORE;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1751898124/md0126q3vdons5zvvuhp.jpg;no;si;7/7/2025;;public;
CJ0012;AMORE (TRACTOR);AMORE;T0,T1,T2;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104221/ctvuadcgnviofrqpsylb.jpg;si;no;30/3/2025;;public;
CJ0013;AMORE (PAJARITO);AMORE;T0;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741103924/zgqnz7qab3kgpqktjy7w.jpg;no;no;30/3/2025;;public;
CJ0014;AMORE (GATITA);AMORE;T0;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741103964/nqxkynpxdf2qwl5ij24s.jpg;no;no;30/3/2025;;public;
CJ0015;AMORE (OSITA);AMORE;T0;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741103994/qhbber6vcidnwg5vofsq.jpg;no;no;30/3/2025;;public;
CJ0016;AMORE (ELEFANTE BL);AMORE;T0;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104006/m7cko2isjz0kdigh3qo9.jpg;no;no;30/3/2025;;public;
CJ0017;AMORE (ZORZAL ROSA);AMORE;T0;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104207/jdpyv6id8f0adimijn4v.jpg;no;no;30/3/2025;;public;
CJ0018;BOMBON (BLANCO);BOMBON CIERVA;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596024/so5adbkof2pwd1enycma.jpg;no;si;7/7/2025;;public;
CJ0019;BOMBON (NATURAL);BOMBON CIERVA;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596043/cruv9pc1iz3ee9frelfk.jpg;no;si;7/7/2025;;public;
CJ0020;BOMBON (ROSA);BOMBON CIERVA;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596057/n72owybjg50jduebuyp8.jpg;no;si;7/7/2025;;public;
CJ0021;BOMBON (BLANCO);BOMBON PAJARITO;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596068/aszep1adxcqmsvmp3wss.jpg;no;si;7/7/2025;;public;
CJ0022;BOMBON (NATURAL);BOMBON PAJARITO;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596081/pjrwx4paa31gacrz8r6h.jpg;no;si;7/7/2025;;public;
CJ0023;BOMBON (ROSA);BOMBON PAJARITO;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596091/zteshoq2ypudqdlzoesy.jpg;no;si;7/7/2025;;public;
CJ0024;BOMBON (BLANCO);BOMBON CAPI;T1;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752596104/afabivoxj8rb1z2zi1qf.jpg;no;si;7/7/2025;;public;
