Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
PR0001;PREMATURO CONJ DULCE (ROSA);PREMATURO CONJ DULCE;Prematuro;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104850/qzt7yqxt3wfmtgxhvzei.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104851/ktezvemqeyfieqxqg4oe.png;no;no;7/7/2025;;public;
PR0002;PREMATURO CONJ DULCE (CELESTE);PREMATURO CONJ DULCE;Prematuro;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104872/qytxkfdizzh7qbprddnr.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104873/lq2rjxg4yswcb2hotzfu.png;no;no;7/7/2026;;public;
PR0003;PREMATURO CONJ LARGO (ELEFANTE);PREMATURO CONJ LARGO;Prematuro;7500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104899/rfn3qler7twaxm2ulcmn.png;no;no;7/7/2027;;public;
PR0004;PREMATURO CONJ LARGO (OVEJA);PREMATURO CONJ LARGO;Prematuro;7500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104914/ernklx3hoaunzce2mllt.png;no;no;7/7/2028;;public;
PR0005;PREMATURO CONJ LARGO (LLAMITA);PREMATURO CONJ LARGO;Prematuro;7500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104935/zxdrx9gqoqfwdzgcf3e4.png;no;no;7/7/2029;;public;
PR0006;PREMATURO PLUSH OREJITA (OSITO NAT);PREMATURO PLUSH OREJITA;Prematuro;12900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104974/anmornbizstfdsoaaoan.png;no;no;7/7/2030;;public;
PR0007;PREMATURO PLUSH OREJITA (ZORRO CEL);PREMATURO PLUSH OREJITA;Prematuro;12900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741104991/jzymckco8pauptfona2b.png;no;no;7/7/2031;;public;
PR0008;PREM BOMBON (BLANCO);PREM BOMBON CIERVA;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342290/psp9origsbubtmkkkg79.jpg;no;no;7/7/2032;;paused;
PR0009;PREM BOMBON (NATURAL);PREM BOMBON CIERVA;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342306/ttajowhskqgilzdyq9ye.jpg;no;no;7/7/2033;;paused;
PR0010;PREM BOMBON (ROSA);PREM BOMBON CIERVA;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342414/av0zpwseqznpghvwessm.jpg;no;no;7/7/2034;;paused;
PR0011;PREM BOMBON (BLANCO);PREM BOMBON PAJARITO;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342432/wo8navmuedgepyoivjhe.jpg;no;no;7/7/2035;;paused;
PR0012;PREM BOMBON (NATURAL);PREM BOMBON PAJARITO;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342440/ejjb2bmklxs84vaasja1.jpg;no;no;7/7/2036;;paused;
PR0013;PREM BOMBON (ROSA);PREM BOMBON PAJARITO;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342446/iy1ipptbgt94bswyuyq1.jpg;no;no;7/7/2037;;paused;
PR0014;PREM BOMBON (BLANCO);PREM BOMBON CAPI;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342505/nrzksns4dkiqhsw7fcix.jpg;no;no;7/7/2038;;paused;
PR0015;PREM BOMBON (NATURAL);PREM BOMBON CAPI;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342515/ye7scs5hzh0qjaheftiq.jpg;no;no;7/7/2039;;paused;
PR0016;PREM BOMBON (ROSA);PREM BOMBON CAPI;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342523/l3wvexoxnircpamvdqbw.jpg;no;no;7/7/2040;;paused;
PR0017;PREM BOMBON (CELESTE);PREM BOMBON JIRAFA;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342533/g5aknkd27jigaifkq9he.jpg;no;no;7/7/2041;;paused;
PR0018;PREM BOMBON (GRIS);PREM BOMBON JIRAFA;Prematuro;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1752342543/mvfoxtj1uj5ary7mxxle.jpg;no;no;7/7/2042;;paused;
PR0019;PREM BOMBON (NATURAL);PREM BOMBON JIRAFA;Prematuro;9900;;no;no;7/7/2043;;paused;
PR0020;PREM BOMBON (BLANCO);PREM BOMBON JIRAFA;Prematuro;9900;;no;no;7/7/2044;;paused;
PR0021;PREM BOMBON (CELESTE);PREM BOMBON BAMBI;Prematuro;9900;;no;no;7/7/2045;;paused;
PR0022;PREM BOMBON (GRIS);PREM BOMBON BAMBI;Prematuro;9900;;no;no;7/7/2046;;paused;
PR0023;PREM BOMBON (NATURAL);PREM BOMBON BAMBI;Prematuro;9900;;no;no;7/7/2047;;paused;
PR0024;PREM BOMBON (BLANCO);PREM BOMBON BAMBI;Prematuro;9900;;no;no;7/7/2048;;paused;
PR0025;PREM BOMBON (CELESTE);PREM BOMBON CAPIBARA;Prematuro;9900;;no;no;7/7/2049;;paused;
PR0026;PREM BOMBON (GRIS);PREM BOMBON CAPIBARA;Prematuro;9900;;no;no;7/7/2050;;paused;
PR0027;PREM BOMBON (NATURAL);PREM BOMBON CAPIBARA;Prematuro;9900;;no;no;7/7/2051;;paused;
PR0028;PREM BOMBON (BLANCO);PREM BOMBON CAPIBARA;Prematuro;9900;;no;no;7/7/2052;;paused;
PR0029;BATITA PACK X3 (ROSA-GRIS-BLANCO);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531497/k5fhgau5oam7skznbhpd.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531498/yt4swfxegxx8l7lwi258.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531498/ajqkeaceai7h2swakpk4.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531498/azmddplp7yb1axvhv0l8.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531498/oiccth48ikxethkykclh.jpg;no;no;7/7/2053;;public;
PR0030;BATITA PACK X3 (NATURAL-ROSA-BLANCO);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/krohryrdkzf2pkn9hm70.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/egbpfliaxmfxues3b7u5.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/r1gl2nk6bj3bhn9ndml0.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/gqzy8ylo1pdl0xgrhpbx.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/ichkddwxbjekmdjwpxl3.jpg;no;no;7/7/2054;;public;
PR0031;BATITA PACK X3 (NATURAL-CELESTE-BLANCO);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531642/lesfsttefvcuo3pdu9js.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531641/lxl7pdawbyyaog19kitj.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531641/tfbx6do7i4s99vg1xqfz.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531642/tjwytgrfekrw0ncdhclc.jpg;no;no;7/7/2055;;public;
PR0032;BATITA PACK X3 (GRIS-CELESTE-NATURAL);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/c0qnfdkv0nz1o7mvqudp.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/upjokmwjgoke4mvolmgh.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/guqe10wcuoyozk5ei7o2.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/rdxzo5zfipifuj3npxai.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/dr9azcutqgxyrenmzdpw.jpg;no;no;7/7/2056;;public;
