Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
RP0001;BODY PAU (BLANCO);BODY PAU;T0,T2;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699055/f3ralq4suu7dxeow6wrt.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699055/ug6crl2aqaofezjwuqsx.png;no;si;7/8/2025;;public;
RP0002;BODY PAU (NATURAL);BODY PAU;T0,T2;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699068/ysuag4phkrtpohzalfyz.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699067/rno0xsuvpxclgqrhaic3.png;no;si;7/8/2025;;public;
RP0003;BODY PAU (NEGRO);BODY PAU;T0,T1,T2,T3,T4,T5;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699090/wb0bxjs5g6ihxhm23vht.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699090/ikoqjv2dmi8njlhb9zq8.png;no;si;7/8/2025;;public;
RP0004;BODY PAU (ROJO);BODY PAU;T0,T1,T2,T3,T4,T5;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699101/f2trnx24tlupaqmx5pmj.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699101/kmkwkvdl5vcas8pxuh1b.png;no;si;7/8/2025;;public;
RP0005;BODY VEST CAMY (BLANCO);BODY VEST CAMY;T0,T1,T3,T4,T5;7900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699159/omlp5matvsui8ri4lnab.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699159/ie6dlbsdmgnppsi6uskw.png;no;si;7/8/2025;;public;
RP0006;BODY VEST CAMY (NEGRO);BODY VEST CAMY;T0,T1,T2,T3,T4,T5;7900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699194/x2vtp1ogoebgctnxoc3s.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699194/hlm5dyi5zhqgqvmcvvj3.png;no;si;7/8/2025;;public;
RP0007;BODY JUANITA (FLOR AQUA);BODY JUANITA;T0,T4,T5;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699218/nmzx32h7c9ynnoqhsvq3.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699218/c2m1lolotivgp8pp5nk0.png;no;si;7/8/2025;;public;
RP0008;BODY JUANITA (FLOR ROJA);BODY JUANITA;T0,T1,T4,T5;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699234/ugl75qgi0kzwy8abjlua.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699233/pd3dehrfrywwa2mvdmz0.png;no;si;7/8/2025;;public;
RP0009;BODY JUANITA (FLOR FUCSIA);BODY JUANITA;T0,T1,T2,T3,T4,T5;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699255/iuau62ccjbu6bcg6loa9.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699255/ab9duk4tjyfrfgewgfbr.png;no;si;7/8/2025;;public;
RP0010;BODY JUANITA (FLOR NATURAL);BODY JUANITA;T0,T1,T2,T3,T4,T5;6000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699275/wr8la45lq7b4mzk1ajhp.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1755699274/war9aqoephcexo48bolu.png;no;si;7/8/2025;;public;
